"P39_NL","P39_L","P33_NL","P33_L","P22_NL","P22_L","P19_NL","P19_L","P65_NL","P65_L"
"AC003109.1",0,0,0,0,0,0,0,0,0,0
"AC003657.1",0,0,0,0,0,1,0,0,0,0
"AC003657.2",0,0,0,0,0,0,0,1,0,0
"AC003659.1",0,0,0,0,0,0,0,0,0,0
"AC003666.1",0,0,0,0,0,0,0,0,0,1
"AC003669.1",0,0,1,0,0,0,0,0,0,0
"AC003681.1",143,99,1750,436,67,9,97,101,131,81
"AC003682.1",0,0,0,0,0,1,0,0,0,0
"AC003684.1",0,0,1,0,0,0,0,0,0,0
"AC003685.1",0,0,0,0,0,0,0,0,0,0
"AC003685.2",0,0,0,0,0,0,0,0,0,0
"AC003686.1",0,0,0,0,0,0,0,0,0,0
"AC003687.1",0,0,0,0,0,0,0,0,0,0
"AC003688.1",0,0,0,0,0,0,0,0,0,0
"AC003688.2",2,3,6,4,0,0,0,0,4,2
"AC003688.3",0,0,0,0,0,0,0,0,0,0
"AC003950.1",0,0,0,0,0,0,0,0,0,0
"AC003956.1",1,5,56,22,4,0,0,4,4,7
"AC003957.1",1,0,2,1,0,0,0,0,0,0
"AC003958.1",0,0,0,0,0,0,0,0,0,0
"AC003958.2",12,3,34,12,0,1,2,8,11,2
"AC003965.1",1,3,0,1,0,1,12,34,0,1
"AC003965.2",0,0,17,2,0,1,0,1,0,0
"AC003973.1",0,0,4,3,0,0,7,2,2,0
"AC003973.2",0,0,2,5,1,1,0,8,3,0
"AC003975.1",11,0,18,15,7,2,6,6,13,14
"AC003982.1",0,0,0,0,0,0,0,0,0,0
"AC003984.1",0,0,0,0,0,0,0,0,0,0
"AC003985.1",0,0,0,0,0,0,0,0,0,0
"AC003986.1",0,0,0,0,0,0,0,0,0,0
"AC003986.2",0,0,0,0,0,0,0,0,0,0
"AC003986.3",0,0,0,0,0,0,0,0,0,0
"AC003988.1",0,0,1,1,0,0,0,0,0,0
"AC003989.1",0,0,1,0,1,0,1,0,1,0
"AC003989.2",0,0,2,0,1,0,0,0,0,0
"AC003991.1",5,5,192,20,2,0,1,1,5,4
"AC003991.2",0,0,3,1,0,0,2,0,0,0
"AC003992.1",0,0,7,2,0,0,2,0,0,0
"AC004000.1",3,0,7,1,5,0,1,3,0,0
"AC004004.1",0,0,1,0,0,0,0,0,0,0
"AC004006.1",0,0,0,0,0,0,0,2,0,0
"AC004009.1",0,0,0,0,0,0,0,0,0,0
"AC004009.2",0,0,2,0,0,0,0,0,0,0
"AC004009.3",0,0,0,0,0,0,0,0,0,0
"AC004012.1",3,2,3,3,0,0,6,3,0,2
"AC004014.1",0,0,0,1,0,0,0,0,0,0
"AC004014.2",2,0,5,6,1,0,1,5,2,0
"AC004022.1",0,0,0,3,0,0,0,0,1,0
"AC004022.2",0,0,0,1,0,0,0,0,0,0
"AC004023.1",3,1,27,6,1,0,1,5,1,1
"AC004024.1",0,0,6,1,0,0,3,0,3,0
"AC004034.1",4,1,14,11,0,0,2,1,6,6
"AC004039.1",7,5,51,25,5,1,1,6,4,4
"AC004047.1",1,0,4,4,0,0,4,0,1,0
"AC004052.1",0,0,0,0,0,0,0,0,0,0
"AC004053.1",2,3,6,8,0,2,1,8,8,4
"AC004054.1",0,0,2,0,0,0,0,0,0,0
"AC004057.1",3743,4143,731,2032,2333,2676,8104,13414,1059,1278
"AC004062.1",0,0,0,0,0,0,0,1,0,0
"AC004063.1",0,0,3,3,0,0,0,0,3,0
"AC004066.1",0,0,0,0,0,0,0,0,0,0
"AC004067.1",6,9,14,6,3,4,8,10,7,8
"AC004069.1",0,6,12,15,1,1,1,10,2,3
"AC004069.2",0,0,0,0,0,0,0,0,0,0
"AC004069.3",0,0,0,0,0,0,0,0,0,0
"AC004074.1",0,0,0,0,0,0,0,0,0,0
"AC004076.1",0,1,13,5,1,1,4,12,3,2
"AC004076.2",16,9,49,16,0,0,7,19,10,10
"AC004079.1",0,0,0,0,0,0,0,0,0,0
"AC004079.2",0,0,0,0,0,0,0,0,0,0
"AC004079.3",0,0,0,0,0,0,0,0,0,0
"AC004079.4",0,2,0,0,1,0,0,0,1,0
"AC004079.5",0,0,0,0,0,0,0,0,0,0
"AC004080.1",0,0,0,0,0,0,0,0,0,0
"AC004080.10",0,0,0,0,0,0,0,0,0,0
"AC004080.11",0,0,0,0,0,0,0,0,0,0
"AC004080.12",0,0,0,0,0,0,0,0,0,0
"AC004080.13",0,0,0,0,0,0,0,3,0,0
"AC004080.14",0,0,0,0,0,0,0,0,0,0
"AC004080.15",0,0,1,0,0,0,0,0,0,0
"AC004080.16",0,0,0,0,0,0,0,0,0,0
"AC004080.17",0,0,0,0,0,0,0,0,0,0
"AC004080.2",0,0,0,0,0,0,0,2,0,0
"AC004080.3",0,0,0,0,0,0,0,0,0,0
"AC004080.4",1,1,4,1,1,1,2,1,2,1
"AC004080.5",6,8,25,12,4,0,8,22,14,10
"AC004080.6",0,0,9,0,0,0,7,0,0,0
"AC004080.7",0,0,0,0,0,0,0,0,0,0
"AC004080.8",0,0,0,0,0,0,0,0,0,0
"AC004080.9",0,0,0,0,0,0,0,0,0,0
"AC004083.1",3,3,19,11,0,0,5,3,6,0
"AC004112.1",2,6,11,1,0,0,0,4,0,1
"AC004125.1",0,0,0,0,0,0,0,0,0,0
"AC004129.1",0,0,0,0,0,0,0,0,0,0
"AC004129.2",3,0,1,1,0,0,0,0,0,0
"AC004129.3",0,0,0,0,0,0,0,0,0,0
"AC004129.4",0,0,0,0,0,0,0,0,0,0
"AC004130.1",0,0,2,1,0,0,0,0,0,0
"AC004130.2",24,43,25,53,9,11,14,72,20,27
"AC004134.1",0,0,7,4,2,0,0,0,1,1
"AC004147.1",0,0,0,0,0,0,0,0,0,0
"AC004147.2",0,0,2,0,0,0,0,1,1,0
"AC004147.3",0,0,0,0,0,0,0,0,0,0
