"P11_L","P12_L","P13_L","P14_L","P15_L","P16_L","P17_L","P18_L","P19_L","P20_L","P11_PL","P12_PL","P13_PL","P14_PL","P15_PL","P16_PL","P17_PL","P18_PL","P19_PL","P20_PL"
"LOC100127886",3.1569,2.3669,3.3198,2.0904,2.64,2.6084,2.9044,2.5326,2.2866,2.3875,2.2981,2.4253,2.9313,2.9352,2.3239,2.6448,2.5173,2.6468,2.5465,2.2451
"LOC100127940",2.443,3.0839,3.0768,3.5455,3.0254,3.6142,2.8909,2.8515,3.3146,3.1457,3.0594,2.7479,3.1531,3.362,3.0102,3.6289,2.9294,3.379,3.3586,3.092
"LOC100127955",4.9829,4.9167,5.3984,4.7406,5.1595,4.9507,5.1446,5.0411,5.2501,4.7837,5.0575,4.9478,5.1458,4.959,4.8791,4.8017,4.9098,5.175,4.9898,5.0428
"LOC100127972",3.7851,3.6037,4.1654,3.365,3.6396,3.6895,3.4959,3.6091,3.706,3.5888,3.3893,3.6037,3.7456,3.7227,3.6767,3.2939,3.2577,3.8476,3.4911,3.6346
"LOC100127974",3.3118,2.7948,2.7376,2.7775,2.9045,2.3906,3.1928,3.0282,2.8717,2.5352,2.9397,2.3661,2.693,2.8702,2.5306,2.7863,3.1956,3.2072,2.7496,3.0655
"LOC100128079",5.0714,4.9931,4.96655,4.9737,5.19865,4.64705,4.78885,5.0541,4.8391,5.00805,5.613,5.3561,5.02385,5.47545,5.89645,5.21815,5.3056,5.8214,5.43185,5.4955
"LOC100128108",6.607,7.8154,6.0617,7.0688,7.6275,6.8875,7.3963,6.9758,6.9201,7.1432,7.1788,7.437,6.8992,7.2782,7.1577,7.2614,7.7503,7.5515,7.4426,7.1197
"LOC100128164",3.8424,4.0343,4.2092,4.0097,4.1358,3.804,3.9317,3.9059,4.0807,3.7769,4.0095,4.1933,4.0178,3.9397,3.8811,3.9534,4.0558,3.8579,3.8747,3.8464
"LOC100128175",2.4486,2.2868,2.5506,2.8567,2.4433,2.5945,2.6884,2.6311,2.7224,2.4087,2.9169,2.5673,2.8836,2.4124,2.7895,2.8197,3.0523,2.5777,2.4065,2.6929
"LOC100128176",3.2473,3.1141,2.9947,3.2201,3.13855,3.3198,3.43495,3.1458,3.211,3.20425,3.2325,3.3856,3.269,3.10725,3.20465,2.91975,3.3529,3.28235,3.06325,2.9351
"LOC100128185",2.8389,2.8581,2.9878,2.8213,2.7259,2.6256,2.7695,2.8301,2.8056,3.0081,2.8852,2.8872,2.7619,3.1741,3.1252,3.0427,2.7167,2.9423,3.236,2.7987
"LOC100128198",3.5908,3.646,3.828,3.7243,3.6618,3.4565,3.5082,3.8182,3.698,3.8582,3.8587,3.5175,3.7625,3.7928,3.5723,3.5121,3.5454,3.4666,3.605,3.8583
"LOC100128239",4.6573,4.1125,4.3097,4.211,4.0095,4.416,4.5,3.9261,4.6498,4.2637,4.4708,4.243,3.947,3.9788,3.9785,4.1839,4.1308,4.177,4.5424,3.9694
"LOC100128281",3.95445,4.147,4.3036,3.9352,4.14155,3.82895,4.0581,4.1386,3.5978,3.97475,4.3315,4.2267,4.0069,4.27375,4.08015,3.89395,4.0196,4.0579,4.17195,3.88845
"LOC100128288",4.1357,4.4759,3.8298,3.9017,3.7586,3.8135,4.0976,3.2147,4.0255,3.7673,4.0006,3.6442,3.9405,3.8401,3.9184,3.6255,4.067,3.5865,3.9202,3.9033
"LOC100128325",5.8883,5.8687,6.1957,5.9972,5.8149,6.0857,6.1185,6.0279,6.2594,5.9377,5.7733,6.0028,6.0099,6.0762,5.8163,6.0938,6.1225,5.981,6.1636,6.0299
"LOC100128343",6.429,6.1008,6.5367,6.2346,6.2476,6.3533,6.2638,6.3074,6.0164,6.0084,6.1655,6.2934,6.2809,6.2635,6.2263,6.5079,6.3764,6.5433,6.2636,6.0565
"LOC100128554",2.649,3.0561,3.4119,3.391,2.8505,2.9712,2.9659,3.3052,3.1377,3.0861,3.358,3.0824,3.2579,3.1366,2.9525,3.262,2.7128,2.8303,2.9622,3.1247
"LOC100128644",5.6674,5.7152,6.059,5.6451,5.5889,5.8113,5.9302,6.0498,5.9313,5.6819,5.811,5.6228,5.7465,5.9346,5.776,5.7695,5.7092,5.8661,5.8686,5.8882
"LOC100128653",5.7544,5.7215,6.0494,5.9193,5.8675,5.647,6.0187,5.8653,5.9948,5.8206,5.5668,6.0696,5.7318,5.7428,5.747,5.8948,5.6365,5.9992,5.8244,5.8811
"LOC100128751",5.3315,5.0378,5.3768,5.0184,5.4842,4.9324,5.3038,5.273,5.3437,5.143,5.4023,5.5882,4.9419,4.8994,5.242,5.3172,5.4124,5.2751,5.1169,5.3941
"LOC100128840",4.6841,4.5941,4.354,4.472,4.4043,4.2683,4.5904,4.5614,4.5009,4.7172,4.8605,4.408,4.5012,4.7289,4.4885,4.3891,4.6366,4.5892,4.4893,4.3444
"LOC100128922",2.9953,2.9206,2.7575,2.6588,2.6793,2.8622,2.9856,3.1018,2.9181,2.7198,2.6646,2.6654,2.662,3.4549,3.1131,2.8865,2.6593,2.7216,2.6875,2.9452
"LOC100128988",3.857,3.3963,3.5561,3.6206,3.3332,3.6305,3.4824,3.6147,4.013,3.8377,3.2801,3.4104,3.5829,3.2289,3.7297,3.5979,3.3941,3.5215,3.67,3.5214
"LOC100128993",2.5221,2.577,2.6401,2.6248,2.7446,2.5254,2.8734,2.9384,3.0108,2.752,2.6102,2.6949,2.8852,2.9996,2.9384,2.458,2.5826,2.8891,2.6184,2.78
"LOC100129029",6.3173,6.4936,5.5597,5.9705,5.1077,5.304,5.2524,5.658,5.2677,6.4218,5.5355,6.4487,5.6509,6.0698,5.5511,5.2459,5.4746,5.1999,5.805,6.1791
"LOC100129034",6.7541,6.96765,6.95875,6.88045,6.7432,6.5401,6.96125,6.7121,6.91795,6.9063,6.8635,6.97275,6.7089,7.0041,6.69665,6.77515,6.9526,6.6968,6.824,6.88215
"LOC100129069",4.2567,4.2171,4.3976,4.0715,4.2156,4.419,4.2353,4.5749,4.5574,4.1021,3.9539,4.0987,4.2055,4.5681,4.365,4.1015,4.0847,4.1218,4.3186,4.1221
"LOC100129098",3.1876,3.5119,3.573,4.0836,3.5711,3.7096,3.3032,3.5867,3.5899,3.6543,3.2582,3.8401,3.1492,3.5783,3.1584,3.3829,4.0876,3.4615,3.746,3.9234
"LOC100129112",4.5082,4.4203,4.3337,4.5955,3.8876,4.1189,4.1521,4.4575,4.5951,4.2038,4.1839,4.4419,4.4407,4.357,4.0182,4.0452,3.6964,4.3255,4.0519,4.2
"LOC100129129",4.84145,4.65375,4.82045,4.61395,4.75095,4.8983,4.84765,4.817,4.65815,4.8141,4.66935,4.7066,5.0727,4.73305,4.7534,4.8024,4.80105,4.9454,4.85635,4.6603
"LOC100129175",4.3643,4.669,4.3625,4.5828,4.7575,4.1023,4.5708,4.9616,4.5038,4.5828,4.5104,4.7455,4.4841,4.3746,4.4919,4.3661,4.4005,4.6415,4.4556,4.2977
"LOC100129198",1.8756,2.149,2.2678,2.0369,2.0619,2.2262,2.0468,1.8852,2.0276,2.0313,2.0135,2.1113,2.1154,1.9708,1.9545,2.0689,2.0196,2.0103,1.8965,1.9369
"LOC100129361",7.20173333333333,7.6563,7.18173333333333,7.9374,7.72653333333333,7.60383333333333,7.8062,7.59,7.9121,7.92273333333333,7.57526666666667,7.5589,7.37023333333333,7.53753333333333,7.7213,7.57183333333333,7.72516666666667,7.38416666666667,7.6078,8.0473
"LOC100129380",5.5356,5.4799,5.8874,5.7484,5.5993,5.4799,5.7186,6.0915,5.5672,5.3015,5.6245,5.9654,6.0303,5.7278,5.7641,5.7142,5.7502,5.8804,5.8373,5.1385
"LOC100129406",6.8066,7.2192,6.9377,5.9139,6.9661,6.8509,6.5711,6.4074,6.089,6.19,6.9523,7.0034,7.3548,6.702,6.6208,6.861,6.5776,7.0892,6.716,6.2892
"LOC100129447",4.2013,4.211,3.8468,4.0319,4.1428,4.0247,3.9794,4.0489,3.6052,4.0694,3.5769,4.0037,3.9736,4.1546,4.2058,3.7855,4.2246,4.0984,3.9629,4.0138
"LOC100129449",3.0228,3.541,3.0936,3.0663,3.0667,3.1627,3.1504,3.1622,3.3812,3.1216,3.0712,3.2157,3.2753,3.0969,3.0568,3.2454,2.8979,3.2762,3.1179,3.1141
"LOC100129455",5.507,4.974,4.5292,5.0744,4.9854,4.8916,5.2769,4.7283,5.3377,5.1617,5.0367,5.3605,5.1313,5.1695,5.044,5.1045,5.3399,4.2873,5.0008,4.786
"LOC100129461",6.3654,6.2844,6.4887,6.3845,6.6046,6.8987,6.8569,6.452,7.0066,6.6761,6.6472,6.6979,6.2533,6.6468,6.6751,6.475,6.5126,6.1553,6.7786,6.7846
"LOC100129476",4.8862,4.9663,5.0003,4.9423,4.8761,4.5677,4.8183,5.1188,4.8528,4.6086,4.6819,4.7591,4.7855,4.6019,4.8378,4.791,4.7509,4.9693,4.8205,4.7717
"LOC100129516",5.837,5.892,6.056,5.6434,5.8865,5.5265,5.1569,6.4311,6.0491,5.7728,5.9632,5.8864,5.7519,5.6735,6.3786,5.2467,5.1499,6.0144,5.7649,5.617
"LOC100129518",7.53975,8.186325,7.19105,8.4507,8.307975,7.9511,8.138925,8.050725,7.573,7.68175,7.79425,7.692175,7.467775,8.5496,8.17525,8.13005,7.927,7.7433,7.406825,7.7232
"LOC100129550",10.9667,10.7419,11.0233,10.7401,10.9505,10.6569,10.8946,10.7014,11.1996,10.8213,10.7214,10.7355,10.9819,10.8333,10.7477,10.5815,10.8582,10.9156,10.9648,10.4387
"LOC100129603",4.1089,4.1889,4.2258,3.9864,4.137,3.5312,3.9555,3.9663,3.9622,3.871,4.0217,3.6671,4.0646,3.6191,3.6368,4.1066,3.887,4.0497,4.0383,3.9865
"LOC100129620",1.9791,1.8706,1.9711,2.0712,2.1434,2.4356,1.9456,1.7808,1.8222,2.0042,1.9292,2.1183,1.8009,2.0418,1.8625,2.0515,1.7817,2.0578,1.9711,1.8797
"LOC100129722",5.397,5.4567,5.7901,5.45345,5.6174,5.31255,5.64025,5.508,5.60895,5.54705,5.462,5.7198,5.71,5.6254,5.65255,5.30175,5.42345,5.57085,5.5471,5.4831
"LOC100129884",4.2235,4.67,4.3501,4.3308,4.233,4.3167,4.9398,4.2237,4.0342,4.2485,4.1528,3.982,4.577,4.0464,4.0649,4.3576,4.7396,4.9841,3.1282,3.2621
"LOC100129917",5.0291,4.9394,5.5429,4.593,5.4732,5.5422,5.5998,5.707,4.3587,4.6981,5.2852,5.1817,5.0877,5.3227,5.1313,6.0474,6.2775,5.6656,5.2292,4.1579
"LOC100129935",3.4816,3.3313,3.5976,3.2578,3.1064,3.0769,3.3313,3.2909,3.6728,3.157,3.2936,3.4003,3.6049,3.2931,3.446,3.0108,3.4163,3.4331,3.3262,3.319
"LOC100129973",4.4836,4.9369,4.8199,4.3419,4.1038,4.8323,4.4919,4.7149,4.4249,4.8441,4.3682,4.5946,4.6694,4.6021,4.4314,4.5516,4.2404,4.2441,4.5062,5.0056
"LOC100130078",4.6806,4.6169,4.9921,4.4113,4.7225,4.8188,5.2183,5.2236,4.7828,4.5056,4.6279,4.7456,5.0103,4.9203,4.8032,4.6459,4.6846,4.7895,4.6974,4.721
"LOC100130093",8.8111,8.2709,8.5435,8.7474,8.5224,8.4073,8.3052,8.4147,8.7491,8.7431,8.415,8.6259,8.3569,8.4952,8.4159,8.3549,8.5289,8.2783,8.4053,8.786
"LOC100130111",3.1729,3.57,3.5064,3.22725,3.1661,3.3193,3.21505,3.4616,3.28275,3.14865,3.3758,3.2171,3.3198,3.2717,3.1178,3.36605,3.06635,3.25385,3.1263,3.3363
"LOC100130219",5.0227,4.9973,4.1672,4.9945,4.8519,4.8188,5.1053,4.9223,5.0732,4.6236,5.0127,4.8081,4.4006,3.928,5.684,4.9031,4.9364,4.9179,4.8577,4.7385
"LOC100130232",3.3993,3.2053,3.7586,3.5855,3.5232,3.4321,3.2052,3.4971,3.4457,3.4133,3.3714,3.5262,3.6017,3.6352,3.3144,3.5451,3.4632,3.3488,3.3919,3.7796
"LOC100130264",3.4095,3.5064,3.4014,3.6162,3.5076,3.5285,3.8011,3.6646,3.3707,3.5831,3.5734,3.2745,3.3649,4.2675,3.6209,3.2782,3.4996,3.5315,3.4541,3.079
"LOC100130278",3.926,3.8505,4.0617,4.3804,3.5312,3.64,4.0151,3.7576,3.6381,3.639,4.2502,3.6113,3.7034,4.2921,3.0632,3.3819,3.8127,3.6879,3.369,3.9234
"LOC100130285",4.8386,5.1131,5.1004,4.9997,4.9119,4.6889,4.6472,4.8082,4.7582,4.4271,4.7949,5.1264,4.7361,4.91,5.0103,4.716,4.9773,4.9212,4.9709,4.7867
"LOC100130331",4.0461,3.5195,3.9883,3.8905,4.4822,3.521,3.3953,3.5617,5.8773,5.3585,3.8401,3.7216,3.7116,3.5444,3.6703,3.7548,3.4001,3.639,4.4315,5.0543
"LOC100130357",5.4197,4.9535,5.4812,5.0541,5.7264,5.6387,5.8104,5.0486,5.3672,5.3538,5.069,4.8656,5.3575,5.343,4.8053,6.1027,5.6842,5.5782,5.9515,5.5321
"LOC100130370",6.64315,6.49325,6.9028,6.50905,6.623,6.39475,6.601,6.7276,6.6318,6.52535,6.5665,6.6449,6.68545,6.6752,6.62835,6.46465,6.51385,6.77445,6.60075,6.6173
"LOC100130417",6.13535,5.99605,6.21715,5.90965,5.9334,5.94535,6.0423,6.0899,6.08305,5.90365,5.99655,6.12535,6.19665,6.07005,5.87925,5.9953,5.99015,6.10245,6.0539,6.1411
"LOC100130428",4.4229,4.4696,4.2191,4.1543,4.194,4.1924,4.1064,3.8251,4.2422,4.0698,3.9725,4.5118,4.5691,4.613,4.5581,3.7184,4.4005,4.0241,4.0242,4.2643
"LOC100130429",7.0018,7.4904,7.2992,6.5201,6.645,6.726,6.2095,6.7175,6.1974,6.0574,7.3355,7.4325,7.4238,6.9703,6.4061,6.8486,6.7171,6.9837,6.5026,6.3307
"LOC100130452",5.0607,5.1991,5.3466,5.0628,5.3162,5.0037,5.0259,5.0503,5.1565,5.1427,4.8623,5.377,5.076,4.7745,5.1013,4.9214,5.0423,5.0643,4.9888,5.0957
"LOC100130456",5.6284,5.5834,5.8798,5.67,5.6296,5.385,5.8899,5.7136,6.0037,5.6371,4.974,5.5274,5.7349,5.6032,5.5231,5.7261,5.6893,5.9047,5.9729,5.3266
"LOC100130458",2.8364,2.5264,2.7176,2.6695,2.7107,2.7705,2.3447,2.5706,2.5588,2.5307,2.6094,2.3809,2.4869,2.5027,2.7423,2.5655,2.5917,2.5039,2.7427,2.523
"LOC100130476",8.8145,9.3041,9.7106,9.2663,9.6803,9.9282,8.1647,9.3523,9.5064,9.2735,8.3706,9.5688,9.4691,9.1053,9.0089,9.4864,7.9305,9.1332,9.4283,9.0164
"LOC100130502",4.66856666666667,4.51666666666667,4.79533333333333,4.63596666666667,4.7079,4.6278,4.68263333333333,4.79446666666667,4.66726666666667,4.57483333333333,4.6224,4.61466666666667,4.69536666666667,4.52113333333333,4.7113,4.4673,4.46523333333333,4.7985,4.70303333333333,4.62376666666667
"LOC100130548",3.2654,3.166,3.4943,3.2094,3.1582,3.211,2.9245,3.0475,3.6021,3.2013,3.1249,3.3727,3.2729,3.015,3.1111,3.0692,3.1511,3.0974,2.9163,3.1462
"LOC100130642",3.5079,4.0053,3.752,3.3918,3.127,3.5855,3.3116,3.4302,3.4546,3.141,3.5271,3.5964,3.9437,3.6673,3.2798,3.5273,3.3721,3.3955,3.1081,3.3716
"LOC100130654",5.4164,5.3584,5.3209,5.192,5.2715,5.6714,5.2815,5.3141,4.9807,5.4672,5.2675,5.2601,5.3562,5.4921,5.4003,5.5134,5.2741,5.3875,5.2123,5.2363
"LOC100130691",8.6056,7.7859,8.5336,8.343,8.8546,9.3511,8.4854,8.5801,9.1254,8.4568,8.1931,7.8641,8.2652,7.8806,8.1507,8.8767,8.1953,8.368,8.5479,8.2019
"LOC100130700",4.4109,4.4476,4.3587,4.4059,4.3622,4.4807,4.4249,4.4189,4.6125,4.4068,4.3628,4.488,4.3606,4.5175,4.4098,4.4427,4.1326,4.3987,4.5855,4.266
"LOC100130705",5.4806,4.9521,5.1672,6.3934,6.1117,5.6337,5.3152,4.8857,6.3185,5.8995,5.3457,4.9265,5.5136,5.8011,5.4869,5.4438,5.4477,4.6984,5.811,5.6771
"LOC100130741",3.7879,3.4597,3.65,3.2471,3.4735,3.3929,3.4628,3.5186,3.6089,3.2844,3.5303,3.6896,3.4116,3.5648,3.6621,3.5395,3.5403,3.4722,3.75,3.3877
"LOC100130744",3.3175,3.5092,3.5174,3.2043,3.3479,3.0582,3.2293,3.3164,3.232,3.0106,3.091,3.423,3.4064,3.4964,2.8439,3.1105,3.4478,3.2464,3.3913,3.271
"LOC100130815",3.2639,3.2894,3.3499,3.1318,3.1789,3.056,3.1469,3.1767,3.1175,3.1121,3.1397,3.113,3.2373,3.4976,3.1627,2.8904,3.1015,3.0042,2.9521,3.0123
"LOC100130856",6.1363,6.664,6.5032,6.0124,6.075,6.2939,6.2914,6.4036,6.4767,6.6045,6.3428,5.6487,6.1968,6.2126,6.1501,6.766,6.4083,5.9965,6.3752,6.7222
"LOC100130872",7.3835,7.0235,7.32065,7.23385,6.8904,6.96065,7.4386,7.09875,7.42975,6.8068,7.3177,7.36535,7.22235,7.28915,6.9707,7.20545,7.37615,7.2156,7.1091,6.736
"LOC100130938",5.6718,5.7517,5.5886,5.746,6.0259,5.6691,5.9436,5.5413,6.1706,6.5595,5.5967,5.9113,5.6694,5.8727,5.9677,6.0407,6.0278,5.4801,5.978,5.858
"LOC100130950",4.89655,5.2016,5.03655,4.7587,4.7855,4.6705,4.93355,4.95065,4.95915,4.91395,4.98205,4.9134,5.2141,5.03285,4.976,4.7523,5.0328,5.30225,4.97475,5.01925
"LOC100130964",2.3748,2.5106,2.5918,2.5079,2.4236,2.4723,2.6506,2.5688,2.806,2.4996,2.4264,2.5989,2.5449,2.2799,2.4219,2.4534,2.2799,2.3766,2.5413,2.4564
"LOC100130987",6.64255,6.0528,6.45725,6.40985,6.50955,6.6636,6.78565,6.7679,6.62165,6.7913,6.30075,6.08795,6.5479,6.6206,6.22165,6.46295,6.77,6.7613,6.40725,6.6979
"LOC100130992",2.7529,2.6145,2.8766,3.038,2.8324,2.7763,3.6249,2.9444,2.7328,2.6575,2.8959,2.3278,2.7545,2.7011,2.7761,3.1242,3.1771,2.6135,2.8056,3.1868
"LOC100131043",3.5384,3.5285,4.5265,3.9991,4.2115,4.3613,4.2012,4.011,4.3015,4.1118,4.0569,3.826,4.143,4.2161,4.3485,4.3999,4.2046,4.1629,4.2361,4.2377
"LOC100131053",5.9383,5.572,6.0433,5.7212,5.6922,5.8349,5.708,5.9611,6.5112,6.3131,5.8349,5.6782,5.8892,5.4216,5.8721,5.6754,5.4923,5.6632,5.9204,6.5232
"LOC100131170",6.4249,6.5069,6.6715,6.1453,6.5544,6.3756,6.3481,6.5128,6.387,6.2539,6.5004,6.4168,6.5942,6.5353,6.328,6.6461,6.2213,6.4733,6.44,6.1565
"LOC100131180",2.7898,3.0038,3.1941,3.0833,3.0752,3.0744,3.2427,3.083,3.4378,2.6642,3.0345,2.9825,3.0187,2.8098,3.2392,3.0964,3.1274,3.2392,3.0736,2.8667
"LOC100131262",9.1109,8.9653,9.37,8.5168,8.8207,9.1716,8.7691,9.8521,9.0825,8.818,9.163,8.9762,9.298,8.4859,9.2871,9.1282,8.7652,9.509,9.3751,9.0876
"LOC100131303",4.823,4.9824,5.2349,5.0706,5.0795,4.7755,4.9743,4.9333,5.1326,4.6725,5.1647,5.099,5.0617,5.1737,4.9706,4.7907,5.1383,4.9425,4.9721,5.1385
"LOC100131347",4.304,3.8658,4.2996,3.9382,4.1746,3.909,4.4019,4.186,4.1842,4.4682,4.1388,3.8322,3.9199,4.2926,4.2767,4.2107,4.2682,4.3206,4.5104,4.7687
"LOC100131496",3.9779,4.3215,4.6652,4.5202,4.6631,4.307,4.6224,4.4877,4.3046,4.5281,4.3987,4.3887,4.4363,4.4971,4.5316,4.3917,4.2394,4.3398,4.3193,4.6154
"LOC100131508",2.0579,2.0463,2.639,2.0873,1.9209,2.0068,1.9776,1.998,2.3401,2.0341,2.0628,2.0617,2.139,2.1126,2.1895,2.0078,2.1196,1.9514,2.2246,2.149
"LOC100131510",4.425,4.7728,4.9058,4.6237,4.0248,4.5095,4.4333,4.132,4.4282,4.2764,4.4247,4.9891,4.6201,4.427,4.0781,3.952,4.6694,4.236,4.199,4.3755
"LOC100131532",4.2566,4.4065,4.6142,4.3396,4.1336,4.1656,4.44,4.3123,4.2988,4.6117,4.5271,4.4542,4.5153,4.1731,4.4765,4.22,4.384,4.374,4.4351,4.3035
"LOC100131541",8.2488,8.5682,7.7967,7.653,7.765,7.8964,8.1704,7.4612,7.0722,7.6066,8.4374,8.3129,8.3556,8.0324,7.9484,8.3465,8.4611,7.8326,7.8056,7.8309
"LOC100131564",8.3664,8.80425,8.5911,8.14465,8.194,8.55715,8.50925,8.185,8.3214,8.24865,8.26275,8.63855,8.74305,8.47365,8.2557,8.5596,8.7285,8.62905,8.4129,8.5922
"LOC100131581",4.6547,4.3098,5.4087,4.7209,5.0906,4.9853,4.5931,5.1752,4.7175,4.38,5.2165,4.8839,5.4998,5.1382,5.1,4.9541,4.6695,5.0793,4.834,4.7341
"LOC100131655",3.1818,3.4213,3.93,3.8142,2.5883,2.6468,4.0389,3.2378,3.5019,3.3013,2.8742,3.2456,2.9456,3.1476,3.091,3.2151,3.4639,2.7805,2.9678,3.1749
"LOC100131662",3.0364,3.505,3.4003,3.4442,3.3304,3.2877,3.2793,3.5835,3.5103,3.3845,3.2859,2.8373,3.3383,3.0406,3.1913,3.2681,3.089,3.4713,3.1807,2.9878
"LOC100131691",2.4554,2.4624,2.5262,2.4381,2.535,2.3208,2.0158,2.4093,2.3821,2.3248,2.2065,2.2765,2.7153,2.4117,2.4288,2.1606,2.4525,2.067,2.2166,2.2818
"LOC100131756",3.247,3.3521,3.1738,3.6667,3.5376,2.9172,3.2457,3.5381,3.3383,3.4304,3.3455,3.4342,3.3706,3.0589,3.2645,3.1546,3.0529,3.6771,3.2924,3.2876
"LOC100131763",4.6687,4.1714,4.5448,4.579,4.4629,4.4249,4.5448,4.5051,4.5463,4.443,4.3788,4.4779,4.6549,4.6792,4.7141,4.3229,4.2172,4.5467,4.4864,4.3977
"LOC100131860",4.4417,4.3334,4.0763,4.2949,4.3862,4.135,4.0507,4.1971,3.9218,4.4332,3.9278,3.973,4.0838,4.4105,4.2324,4.4091,4.078,4.2345,4.0465,4.1352
"LOC100131864",2.9768,2.9287,3.325,2.7154,2.7909,2.8608,2.638,2.829,2.7567,2.7478,2.7774,2.9935,2.7787,2.6248,2.8467,2.6658,2.6847,2.881,3.0568,2.6389
"LOC100132005",3.3181,3.7686,3.4065,3.0688,3.4777,3.4005,3.301,3.1248,3.2864,3.2005,3.249,3.2955,3.4005,3.4919,2.9811,3.5019,3.4956,3.3394,3.3538,3.3999
"LOC100132057",5.32515,5.2137,4.94025,5.34075,5.5618,4.95965,5.38235,5.034,5.23225,5.20555,4.9538,5.35835,5.00075,4.9922,5.70965,5.31105,5.6427,5.081,4.97685,5.0625
"LOC100132077",4.6854,4.9117,4.6266,4.6442,5.1189,5.1673,4.5535,5.2172,4.1764,4.8858,4.791,4.2354,4.8312,4.1717,5.2663,4.9241,4.8798,4.9601,4.8639,5.237
"LOC100132078",4.8611,4.5524,5.1306,5.1676,4.7269,4.3398,5.0325,5.3209,4.7029,4.8572,4.4581,4.9054,4.9336,4.9036,4.7137,4.6483,5.0709,5.0597,4.8482,5.0766
"LOC100132167",6.7101,6.4685,6.5705,6.7931,6.1587,6.3618,6.4205,6.6071,6.5476,5.8044,6.5093,6.3614,6.1743,6.9007,5.9491,6.3818,6.1238,6.936,6.2213,5.6895
"LOC100132207",4.0648,3.5414,3.6112,3.6632,3.5057,3.93,3.7441,3.5453,3.6935,3.4603,3.9502,3.7098,3.1451,4.0815,3.3872,3.4856,3.7457,3.5202,3.6229,3.6285
"LOC100132319",8.1266,7.803,4.801,7.3698,7.4968,7.3489,7.2518,6.4693,7.228,7.0097,7.8033,8.206,5.6294,7.1701,7.5015,7.5575,7.2769,6.2916,6.7165,6.509
"LOC100132352",8.6207,8.8479,8.7031,8.2834,8.5702,8.6877,8.4663,8.0586,8.984,8.4188,8.4504,8.9313,8.8455,8.4935,8.5615,8.7227,8.5125,8.7181,9.0308,8.5698
"LOC100132354",3.1349,3.0675,3.1302,3.0321,2.9362,2.5259,2.8217,3.4595,3.4121,3.011,2.7657,2.8477,3.0865,3.1348,3.1588,3.0531,2.8969,3.3642,3.3048,3.0217
"LOC100132356",6.8504,7.0447,7.0036,6.902,7.1302,6.8241,7.2558,7.1093,6.5562,6.8235,6.5637,7.1768,6.9693,6.6644,6.7207,6.9146,7.779,7.3916,6.856,6.7961
"LOC100132661",2.2745,2.4898,2.1283,2.2587,2.2782,2.2808,2.3482,2.0667,2.3014,2.0153,2.029,2.1687,1.9866,2.0141,2.294,2.463,2.2587,2.1602,2.1446,2.2087
"LOC100132686",5.4091,5.5255,5.4825,5.5824,4.2564,5.7971,5.9485,5.0484,5.4753,4.8785,5.7822,6.0223,5.6983,5.2554,5.4292,5.618,5.639,5.4577,5.4154,4.9912
"LOC100132735",5.5984,4.3214,3.7004,3.503,3.7187,3.778,4.5957,4.2484,4.283,3.8129,5.5088,4.6364,3.4282,3.818,5.5984,3.2333,4.4519,3.8982,4.4183,4.7853
"LOC100132891",5.5073,5.2363,4.4638,5.7747,6.0281,4.9242,6.1717,5.4212,5.6159,6.2713,6.2889,6.1217,5.0685,5.7285,5.9474,6.0619,6.4014,5.7482,5.5972,6.7758
"LOC100133039",5.69,5.583,5.6401,5.3594,5.3039,5.4702,5.3579,5.7584,5.6058,5.4514,5.5928,5.5942,5.6854,5.509,5.2362,5.6024,5.3555,5.5674,5.4629,5.6808
"LOC100133089",4.6442,4.2337,4.6628,4.1246,4.4206,4.1653,4.2922,4.5335,4.4141,4.3215,4.3383,4.4636,4.4896,4.526,4.5855,4.3363,4.4699,4.4473,4.4863,4.4028
"LOC100133130",8.3035,9.0212,8.054,7.9131,8.2438,8.4211,8.2788,7.8385,7.4476,7.9869,8.7429,8.2087,8.7412,8.082,8.0675,8.5771,8.3802,8.345,8.3618,8.0978
"LOC100133131",3.4794,2.644,2.8182,2.7949,2.3299,2.3325,2.6191,2.5055,2.1665,2.2887,2.6083,2.2481,2.4858,2.4881,2.4301,2.5402,2.3675,2.3193,2.0278,2.3951
"LOC100133315",7.4386,7.6892,7.2656,7.6397,7.5045,7.4991,7.3036,7.2541,8.0226,7.5593,7.6823,7.5563,7.4529,7.5923,7.5763,7.4261,7.6795,7.5222,7.7888,7.7456
"LOC100133445",5.84735,5.9152,6.0354,5.65635,5.8318,5.63535,5.7508,5.6611,6.0939,5.7088,5.8216,5.81845,5.8606,5.8921,5.9106,5.7287,5.76355,5.7645,5.8798,5.7878
"LOC100133461",5.2402,5.4898,5.7347,5.5058,5.3944,5.0267,5.273,5.6675,5.4492,5.1891,5.3562,5.5819,5.4966,5.2717,5.3478,5.261,5.2452,5.4491,5.3044,5.1123
"LOC100133669",5.6039,5.3623,5.6143,5.615,5.6427,5.693,5.743,5.7748,5.7484,5.5431,5.603,5.6791,5.6289,5.7079,5.4821,5.6422,5.7736,5.6677,5.5977,5.6248
