"P11_L","P12_L","P13_L","P14_L","P15_L","P16_L","P17_L","P18_L","P19_L","P20_L","P11_PL","P12_PL","P13_PL","P14_PL","P15_PL","P16_PL","P17_PL","P18_PL","P19_PL","P20_PL"
"ABCA13",5.32016666666667,3.21626666666667,3.5109,3.4753,5.16783333333333,4.3064,3.8624,5.83166666666667,3.3143,3.86483333333333,5.64263333333333,3.92936666666667,2.80113333333333,3.5398,5.39533333333333,3.6528,3.61453333333333,5.0217,5.13553333333333,5.61356666666667
"ABCA17P",6.0472,6.5548,5.9932,6.9728,6.3481,5.7802,5.6284,5.6066,6.1852,6.0053,5.7739,6.4996,6.2533,6.3595,5.9257,6.0948,6.2429,5.6998,6.0651,6.256
"ABCA2",6.7441,6.5501,6.78563333333333,6.6423,6.67336666666667,6.58596666666667,6.52403333333333,6.5578,6.91733333333333,6.6006,6.53526666666667,6.8058,6.714,6.63246666666667,6.54213333333333,6.58666666666667,6.44076666666667,6.64573333333333,6.74966666666667,6.6505
"ABCA3",8.4406,8.1065,7.7998,8.2386,8.0137,8.3116,8.3609,8.1489,8.3853,8.1919,8.4632,8.4841,8.0839,7.9479,8.549,8.448,8.2082,8.1472,8.2974,8.1991
"ABCA4",5.4272,4.3501,4.78735,4.5566,4.4048,5.08095,4.48775,5.86845,4.77475,5.11,5.3187,4.70685,4.4587,4.18935,5.41615,4.8794,4.45355,5.31565,5.2288,5.32245
"ABCA5",10.0956,10.1733,9.95615,9.55945,10.22195,10.14885,10.1114,9.7741,9.8681,9.58205,9.8077,10.03715,10.30385,9.818,10.11775,10.1149,10.31705,10.34395,10.35725,9.9036
"ABCA6",8.4016,8.2841,6.5915,7.7029,8.7938,8.189,8.9497,8.2886,7.4085,8.8298,7.9194,8.4606,7.5416,8.0773,8.4364,8.5805,9.1992,7.8916,8.0839,8.296
"ABCA7",6.7835,6.3855,6.9527,6.673,6.5926,6.6286,6.3391,6.5655,6.8984,6.7012,6.3125,6.6012,6.7856,6.5746,6.3735,6.4931,6.3557,6.741,6.554,6.4862
"ABCA8",6.59823333333333,6.79643333333333,5.97123333333333,6.3754,6.6585,6.35616666666667,6.70166666666667,6.52263333333333,6.31563333333333,6.732,6.33013333333333,7.01026666666667,6.33973333333333,6.58836666666667,6.7213,6.9891,7.16593333333333,6.59553333333333,6.32046666666667,6.57133333333333
"ABCA9",6.06556666666667,7.34093333333333,4.92816666666667,6.278,7.12893333333333,6.05523333333333,7.785,6.21883333333333,6.04046666666667,6.8392,6.31383333333333,7.06846666666667,5.80456666666667,6.41966666666667,6.89493333333333,6.48206666666667,7.7838,6.4277,6.44013333333333,6.69383333333333
"ABCB1",6.51113333333333,6.414,6.03906666666667,6.4808,6.55463333333333,6.1967,6.69193333333333,6.39696666666667,6.87566666666667,6.75556666666667,6.57586666666667,6.49123333333333,6.27643333333333,6.5259,6.5037,6.40426666666667,6.9955,6.66503333333333,6.9735,6.56303333333333
"ABCB10",9.7135,9.7865,9.9081,10.0163,9.9373,9.6074,9.9484,9.9998,9.5755,9.771,9.7691,9.7486,9.9853,10.0276,9.741,9.6686,9.8592,9.8593,9.6693,9.7299
"ABCB11",3.0207,3.1713,3.59155,3.01645,2.84085,3.47785,3.09715,3.6599,3.2504,2.7893,3.35375,3.1675,3.5181,3.19915,3.6377,2.9165,3.0997,3.8556,3.11835,3.01655
"ABCB4",6.79325,6.7029,5.98085,5.8513,6.0615,5.91215,6.1982,5.9331,5.9214,5.93075,6.2401,6.79335,6.26225,6.34295,6.0363,5.79835,6.45685,6.0276,5.4011,5.9062
"ABCB5",4.2086,3.384475,3.236875,3.6257,3.666625,3.373575,5.4054,3.81445,3.5361,3.955675,4.257675,3.2832,3.1774,3.67895,3.739425,3.538925,5.089425,3.5237,3.46245,3.420925
"ABCB6",7.39765,7.24945,7.6724,7.27005,7.29985,7.2124,7.06685,7.5551,7.41915,7.2622,7.1069,7.2068,7.3246,7.2487,7.45765,7.16955,7.0819,7.45535,7.254,7.3277
"ABCB7",9.7963,9.6531,9.7779,9.5297,9.8374,9.9412,9.8199,9.8357,9.8993,9.731,9.7665,9.785,9.7022,9.5802,9.9763,9.7388,9.693,9.9743,9.8372,9.7622
"ABCB8",6.42266666666667,5.868,6.5675,6.2917,6.045,5.86866666666667,5.77583333333333,5.97606666666667,6.4399,5.95316666666667,5.95693333333333,6.3307,6.30146666666667,6.19333333333333,6.32443333333333,5.89486666666667,5.85473333333333,5.90453333333333,6.0948,6.14196666666667
"ABCB9",4.70536666666667,4.99926666666667,4.75366666666667,4.81366666666667,4.65006666666667,4.59096666666667,4.5689,4.8679,4.96783333333333,4.8346,4.88866666666667,5.0766,4.77,4.73703333333333,4.76776666666667,4.7251,4.72106666666667,4.82256666666667,4.69656666666667,4.66963333333333
"ABCC1",9.3383,9.2396,9.2877,9.0029,9.225,9.38425,9.27235,9.47495,9.1461,9.1167,9.35275,9.29625,9.0907,9.1265,9.24655,9.14995,9.2163,9.22365,9.1187,9.27645
"ABCC10",8.02225,7.66665,8.0941,7.8531,7.74885,7.77215,7.4828,7.60345,8.3371,7.62705,7.4356,7.99555,7.8555,7.53045,7.71225,7.6226,7.646,7.6309,7.83495,7.7696
"ABCC11",3.8173,3.18515,3.83415,3.51765,3.67255,3.95305,3.2819,4.25915,3.88085,3.96075,3.99745,3.69805,3.7699,3.82545,4.04855,3.94245,3.8644,4.05665,3.758,4.18815
"ABCC12",3.05845,2.9235,3.28225,3.0628,3.0789,2.99165,2.9425,3.15845,3.0204,2.95775,2.95885,2.89315,3.0975,3.0696,3.0509,3.66075,3.14415,3.1414,3.10805,3.21575
"ABCC13",3.01615,2.9974,3.02045,2.988725,2.9019,2.81365,3.0183,2.7867,2.9026,2.957075,3.0116,2.85335,2.799525,2.843425,2.9513,2.852375,2.84235,2.89015,2.969325,2.770175
"ABCC2",5.2933,5.1264,5.7152,5.1991,5.0767,4.8188,5.1604,4.8161,5.2877,5.0318,5.403,5.2705,5.1091,5.3664,5.472,5.0144,5.2704,5.0825,5.4681,6.1183
"ABCC3",7.25876,6.94162,7.49834,6.88568,7.19288,7.12022,6.86492,7.0731,7.3359,7.17144,6.621,7.24038,7.22154,6.82474,7.10262,6.83158,6.65224,7.04712,6.99702,7.39198
"ABCC4",5.957625,5.599575,5.955825,5.9707,5.9577,6.376175,6.286675,5.92205,6.32655,5.918975,6.08605,5.834375,5.9482,5.5791,5.734575,6.641575,5.98445,5.3461,6.474925,5.694875
"ABCC5",7.82723333333333,8.1122,8.49803333333333,8.25066666666667,8.1097,8.25236666666667,8.01253333333333,8.0115,8.054,8.17576666666667,7.48343333333333,8.1648,8.20723333333333,8.36523333333333,7.8628,7.9632,7.8889,7.97853333333333,7.7218,8.23026666666667
"ABCC6",4.8916,5.0607,4.6596,5.1133,4.48843333333333,4.8286,5.03163333333333,5.0114,5.03273333333333,5.2228,5.0684,4.96463333333333,5.02896666666667,4.99613333333333,5.49533333333333,5.15066666666667,5.01193333333333,4.7563,5.22033333333333,5.1556
"ABCC6P1",2.975,3.0818,3.1432,3.5824,3.1146,3.2498,3.3938,2.977,3.0526,3.2375,3.2496,3.5235,3.2044,3.1548,3.1631,3.0677,3.2688,2.8507,3.3046,3.1794
"ABCC8",5.20145,5.4001,5.40625,5.22325,5.1233,4.9427,5.0936,5.5511,5.1257,5.0786,5.11285,5.21805,5.15905,5.246,5.3358,5.10675,5.3074,5.2645,5.1731,5.16545
"ABCC9",4.35688,4.57712,4.127,4.48756,4.48028,4.18776,4.71966,4.25494,4.13164,4.72968,4.47082,4.51616,4.08254,4.9064,4.42678,4.34514,4.71936,3.93892,4.24904,4.42504
"ABCD1",6.1066,5.5619,5.496,5.7458,6.0038,5.8235,5.8565,5.835,6.1227,5.9688,5.9062,5.9535,5.65,5.8602,6.0956,5.9777,5.7295,5.5376,5.685,6.2953
"ABCD1P2",4.5594,4.5522,4.4559,4.6244,4.7617,4.678,4.7838,4.4857,4.7304,4.7752,4.2804,4.3395,4.5,4.6688,4.6467,4.5819,4.7331,4.4706,4.4746,4.609
"ABCD2",3.4652,2.7956,2.5309,2.018,2.145,2.4516,2.3964,1.9606,2.0428,3.7132,2.7071,2.3576,1.9001,2.2696,2.7899,2.745,2.7982,1.8696,2.9878,3.4615
"ABCD3",9.67025,9.58485,10.02005,9.72455,9.822,9.89735,9.16635,9.71615,9.6828,9.4371,9.83495,9.6057,9.91285,9.8917,9.78745,9.48585,9.0122,9.53585,9.74585,9.43775
"ABCD4",6.7167,6.8602,6.8017,6.77065,6.9181,6.71865,6.63525,6.44685,6.8257,6.9027,6.14585,7.06295,6.66655,6.71755,6.42695,6.57885,6.7464,6.50985,6.6273,6.751
"ABCE1",10.9128,11.0391,11.2195,11.24665,11.12365,11.0726,10.997,11.09345,11.15715,11.11885,11.0576,11.0037,11.1895,11.24015,11.0602,10.97245,10.9438,10.97575,11.0896,11.21115
"ABCF1",10.1539,9.6407,10.1727,9.8761,9.9548,10.0489,9.5873,9.9827,10.3694,9.8915,9.7777,9.9645,10.0337,9.9217,9.9198,9.9699,9.7457,9.7992,9.9901,9.9519
"ABCF2",7.48624,7.15648,7.8146,7.77702,7.48882,7.43872,7.49412,7.47106,7.57886,7.59082,7.39424,7.30364,7.5995,7.7141,7.34498,7.3373,7.53492,7.3314,7.55672,7.52806
"ABCF3",7.7718,7.5986,8.126,8.0939,7.9287,7.8489,7.6539,7.7071,8.3452,7.7399,7.5833,8.029,7.883,7.9324,7.6793,7.7699,7.8198,7.6926,7.8287,7.7878
"ABCG1",8.361325,8.903675,8.89435,9.1332,8.676025,8.418825,8.154725,8.372875,8.284875,8.8902,8.2604,8.984975,8.84015,9.107825,8.238975,8.354325,8.302675,8.319925,8.3456,8.877275
"ABCG2",5.6046,6.1218,5.6728,5.8642,7.13,6.455,6.4989,6.4536,6.7132,7.1534,6.328,6.1367,5.5719,6.2374,6.8797,6.2481,6.4235,6.1258,6.0508,7.0088
"ABCG4",4.8088,4.6996,4.9539,4.7594,4.7377,4.7315,4.5035,4.8887,4.8713,4.7427,4.4644,4.7909,4.637,4.7962,4.8442,4.711,4.6366,4.7861,4.7421,4.7642
"ABCG5",3.9067,3.6857,3.8977,3.7794,3.8866,4.1127,3.7528,3.707,4.1828,4.239,4.1021,3.8819,3.8407,3.8381,3.8523,3.874,3.8604,4.0732,4.0493,3.7024
"ABCG8",3.8823,3.784,3.7998,3.7505,3.7255,3.5487,3.668,4.0337,3.906,3.723,3.6154,3.889,3.8028,3.8041,3.6847,3.7964,4.0222,4.0671,3.6626,3.6138
"ABHD1",3.71786666666667,3.9578,3.99723333333333,4.17726666666667,3.99273333333333,3.822,3.8461,3.9672,4.03526666666667,4.19353333333333,3.96753333333333,4.16043333333333,4.20063333333333,4.15516666666667,3.77673333333333,3.91333333333333,3.92603333333333,3.95456666666667,3.87296666666667,3.84613333333333
"ABHD10",8.9434,8.97885,8.76435,8.9136,8.7653,8.6918,8.9936,8.5559,8.5504,8.81435,8.8551,8.84075,8.94105,8.81295,8.58605,8.6657,8.9276,8.48425,8.6639,8.6966
"ABHD11",6.94866666666667,7.0977,6.87563333333333,6.9413,6.93316666666667,6.83473333333333,6.92076666666667,7.20576666666667,6.82606666666667,6.98176666666667,7.1347,7.17366666666667,7.10776666666667,6.9264,7.068,7.0293,6.8452,6.99693333333333,6.9937,6.87343333333333
"ABHD12",9.33033333333333,9.33446666666667,10.0956,9.60266666666667,9.2,9.80186666666667,8.9226,9.52013333333333,9.5319,9.25633333333333,9.28033333333333,9.59393333333333,9.8169,9.51776666666667,9.44993333333333,9.48146666666667,8.886,9.4302,9.45323333333333,9.48676666666667
"ABHD12B",7.39245,7.27865,7.7666,7.4621,7.6031,7.7959,6.89485,7.5133,7.80725,7.48485,7.3537,7.3079,7.4937,7.16805,7.6934,7.60945,6.569,7.9274,7.61445,7.5128
"ABHD13",6.85235,6.76405,7.06215,7.62995,6.65855,6.6914,6.91225,6.847,6.7809,6.99145,6.81665,6.8512,6.9263,7.3228,6.71255,6.30145,6.72005,6.56185,6.60155,6.63135
"ABHD14A",7.6632,7.2962,6.6182,7.3478,7.3472,6.9603,7.1111,7.0901,7.0505,7.6158,7.7202,7.4888,6.775,7.4162,7.4633,7.1963,7.2606,6.9662,7.0592,7.3729
"ABHD14A-ACY1",8.2171,7.4824,7.3813,7.5409,7.6374,7.6486,7.4378,8.8556,7.6036,8.114,8.4231,7.719,7.4825,7.4594,9.648,7.549,7.4692,8.7425,7.6866,8.9208
"ABHD14B",10.4161,10.2244,10.0381,10.5556,10.2548,10.2262,10.1491,10.4341,10.6595,10.6212,10.5062,10.2211,10.2348,10.407,10.8296,10.2816,10.3507,10.4654,10.4732,10.9765
"ABHD15",7.2854,6.7447,7.3217,7.0513,6.8532,7.1479,6.8888,6.6367,7.5682,7.0807,7.0007,6.9995,6.8747,6.8382,7.0675,7.2725,6.6816,6.5694,7.1429,7.118
"ABHD16A",7.6149,7.38735,7.71935,7.52725,7.45715,7.5634,7.41595,7.5232,7.66815,7.45315,7.25595,7.62425,7.4442,7.3988,7.41285,7.5382,7.1919,7.43425,7.5984,7.4168
"ABHD16B",5.2939,5.5286,5.7448,5.516,5.5389,5.2245,5.4871,5.5987,5.6054,5.436,5.2342,5.424,5.3083,5.7202,5.5908,5.3537,5.3865,5.4376,5.3239,5.3288
"ABHD17A",8.2191,7.6854,8.5903,8.477,8.4133,8.2314,7.892,8.1247,8.4031,8.3863,7.9863,7.9662,8.3448,8.3599,7.9268,8.0938,7.9559,8.096,8.384,8.0866
"ABHD17B",7.5186,7.87876666666667,7.6883,7.9398,7.977,7.93336666666667,7.25366666666667,7.94923333333333,7.21626666666667,7.66903333333333,7.5592,7.61453333333333,7.6686,8.20083333333333,7.68893333333333,7.8527,7.21646666666667,7.93293333333333,7.4381,7.67273333333333
"ABHD17C",8.2033,9.1191,9.0316,8.9903,8.5847,8.9458,8.0218,9.0683,8.614,8.8023,8.425,8.7587,8.7339,8.688,8.8569,8.5922,7.9386,8.824,8.8188,8.8727
